product_id,brand_name,product_name
7891991014915,Antarctica,refrigerante guarana antarctica 200ml
27897123881039,Prata,agua mineral gas prata 300ml
67896100501845,Aliança,suco uva organico alianca 1l
17898080640618,Italac,leite uht integral italac 1l
27891097001035,Parmalat,leite uht semidesnatado parmalat garrafa 1l
17896333041281,Tutti giorni blu,agua mineral gas tutti giorni blu 500ml
17891991301128,Skol beats,bebida skol beats gin tonica long neck 269ml
17894900504009,Powerade,isotonico mix frutas pro powerade 500ml
7891991302418,Skol beats,bebida skol beats senses long neck 269ml
7891991307246,Skol beats,bebida skol beats red mix long neck 269ml
7896045506477,Blue moon,cerveja americana blue moon belgian white lata 350ml
17896062801224,São lourenço,agua mineral gas sao lourenco 300ml
7896045506606,Heineken,cerveja heineken lata 269ml
7897123882032,Prata,agua mineral gas prata 300ml
17896045504494,Sol,cerveja sol long neck 330ml
7898968753297,Gran nero,salame tipo hamburgues gran nero 100g
7896715606582,Naturovos,gema ovos pasteurizada resfriada liquida naturovos 1kg
7891035024931,Sbp,multi inseticida automatico sbp aparelho refil 250ml
7899452032126,Avant,lampada led 12w 1050 lumens branca avant
7891991306430,Stella artois,cerveja stella artois pure gold gluten lata 473ml 12 un
7891150104266,Omo,lava roupas liquido omo ciclo rapido acao cuidado 750ml
7891136065208,Cynar,aperitivo cynar 900ml
7896020694717,Mor,garrafa termica pressao farroupilha bege 1402 mor 1 9l
7500435187886,Head & shoulders,shampoo anticaspa head shoulders men old spice 400ml
7898206502250,Native,chia graos organica native 180g
7896041172706,Oderich,mostarda oderich 190g
7896324275155,Mosmann,biscoito salgado parmesao gergelim gluten mosmann 60g
7898921567121,Bem brasil,batata palito pre frita tradicional congelada bem brasil 2kg
7896333041383,Linea utilo,conjunto 2 toalhas papel rolo folha dupla linea utilo 22x19 5cm 50 folhas
7891356121784,Philco,smart tv led 50 led uhd 4k philco roku ptv50va4regb
7896018700659,Huggies,toalhas umedecidas huggies max clean 48
40232847967,Essential nutrition,adocante po xylitol essential nutrition 300g
7898292634934,Zaffari,hamburguer bovino resfriado zaffari 300g
7891089447939,La violetera,azeitona verde caroco la violetera 120g
70847022015,Monster energy,energetico monster energy lata 473ml 6 un
7896333042724,Mercatto,cravo india mercatto sache 30g
80432400395,Chivas regal,whisky escoces chivas regal 12 anos 750ml
7899825505943,Avant,refletor led slim50 50w 6500k luz branca avant bivolt
7891079000410,Nissin,macarrao instantaneo carne tomate talharim nissin 99g
7891000259818,Nestlé,chocolate nestle leite cobertura dois frades 500g
7500435177566,Downy,amaciante concentrado roupas downy brisa verao refil 1 2l
7899572803200,Lola cosmetics,mascara tratamento capilar lola cosmetics morte subita 450g
7898952174565,Baggio café,cafe aromas chocolate avela baggio 250g
7891150087385,Suave,desodorante aerossol antitranspirante suave revigorante frutas vermelhas lichia 200ml embalagem promocional
7896647028247,Pais & filhos,jogo memoria princesa pais filhos 40 pecas
7898586260047,Dalcin,vassoura palha cabo dalcin
7891653011115,Grecin,shampoo color grecin 5 just men castanho claro h 25
7898955067130,Nacho loco,mini tacos carne desfiada queijo congelado nacho loco 300g
7896451928238,Docile,bala goma jujulicia docile 80g
7896775110241,Guimarães,amendoim doce cara pina guimaraes 200g
7891050000903,Orloff,vodka orloff 1l
7895098828048,Acessório gaúcho,bomba chimarrao cavalo acessorio gaucho 23cm
7891000372548,Nestlé,wafer chocolate branco galak nestle 110g
76840376308,Ben & jerry's,sorvete chocolate fudge brownie ben jerry s 458ml
7896329300616,Della nonna,molho 4 queijos caseiro della nonna 300g
7896333063545,Marchand,pote vidro quadrado multiuso tampa plastico marchand 800ml
7891048070284,Dr.oetker,mistura bolo caneca brownie dr oetker 70g
7898959869020,Dozza,esfiha carne fechada congelada dozza 400g
7896625210763,Vigor,iogurte natural viv vigor 150g
7908267520978,Gran selezione,linguica costela congelada gran selezione 300g
7896079820051,Montevérgine,bombons chocolate leite recheio licor cereja montevergine 195g
4006542062281,Michel schneider,michel schneider riesling gewurztraminer alemao vinho branco 750ml
2223300000008,Villa germania,pato congelado villa germania
7894904247042,Incrível!,iscas peixe vegetal congelado incrivel 300g
5000267186351,Johnnie walker,kit whisky escoces johnnie walker gold label reserve 750ml miniatura age 18 years 50ml miniatura blue label 50ml
5099873022092,Jack daniel's,bebida mista gaseificada jack daniel s tennessee honey lemonade 330ml
7891129203556,Brastemp,adega brastemp 12 garrafas bzc12be 220v
7896067203002,Panasonic,pilha alcalina aa pequena panasonic 6
7896798601825,Supino,barra proteina chocolate supino protein max 30g
7897386718819,Ou,pote plastico cilindrico hermetico block ob300nt 1 5l
7622210641632,Club social,biscoito sabor presunto club social 141g
7891000365267,Passatempo,biscoito leite maltado passatempo nestle 150g
7897079081305,Taschibra,painel led lux redondo 1260 lumens luz fria taschibra 18w 212x212mm
7791293038155,Dove,desodorante aerossol antitranspirante dove go fresh pera aloe vera 150ml
7898994939771,Nude,bebida aveia gluten cacau nude 1l
7898962937167,Fazenda trevisan,iogurte coco integral fazenda trevisan 500g
7899882313406,Mondial,forno micro ondas 34l branco mondial mo0234w 220v
7896423423914,M&m's,confeito m m s pipoca 120g
7896018704015,Huggies,conjunto toalhas umedecidas huggies one done 192 embalagem promocional
5601809007303,Riberalves,lombo bacalhau dessalgado congelado riberalves 600g
7896014183043,L'oréal paris,tintura casting creme gloss preto 200l oreal
3154149535118,Maped,grampeador a17 maped
3016661157271,Arno,cafeteira eletrica arno filtro perfectta inox preta 12 cafes cm321db2 cfpi 220v
7896267776979,Weinmann,vinagre balsamico weinmann 250ml
7891010256135,Neutrogena,protetor solar facial neutrogena fps70 sun fresh hydro boost cor 2 0 todos tipos pele 40ml
7622210570406,Trident,goma mascar morango lime x senses trident 54g
7896313207266,Sanitas,cha funcho sanitas 10 saches
7896222721303,Veja,limpador veja perfumado concentrado gotas perfume ametista 100ml
7892840822446,Doritos,salgadinho elma chips doritos queijo nacho 120g
7908228804369,Fini,bala gelatina bananas fini 35g
7891025123057,Danone,iogurte creme calda frutas vermelhas grego danone 90g
7892840823979,Cheetos,salgadinho elma chips cheetos crunchy super cheddar 160g
7891025124252,Yopro,bebida lactea cappuccino zero lactose 15g proteinas yopro danone 250ml
7891150073081,Dove,desodorante aerossol antitranspirante dove clinical men 150ml
7891962053202,Bauducco,torrada multigraos bauducco 142g
80177609,Kinder,chocolate kinder leite ferrero 50g 4
7898968753358,Gran nero,salame tipo italiano defumado gran nero 250g
7891010560737,Johnson's,hastes flexiveis cotonetes johnson johnson 75
7896601104970,Frescatto,mexilhao descascado congelado frescatto 400g
7894900681017,Sprite,refrigerante sprite limao original lata 350ml 12 un
7896023085949,Salton,espumante brut ouro salton 750ml
749355818846,Punta ballena,alfajor negro doce leite punta ballena 60g
7896007800797,Kenko,molho salada italiano kenko 236ml
7896019602006,Sonho de valsa,bombons sonho valsa lacta 1kg
7896512936028,Granado,repelente spray longa duracao bebe granado 110ml
7896306619458,Trento,chocolate trento massimo branco cookies 30g
7896026025362,Isla,sementes couve mahara microverdes isla 2g
7891095154098,Kitano,canela casca kitano 20g
7730430001652,Las acacias,massa grano duro fusilli las acacias 500g
7908972104913,Marchand,regua crescimento infantil branca marchand
7898215157304,Ninho,leite uht integral ninho nestle 1l 12 un
7896060506483,Choco leite,bebida lactea chocolate choco leite 208ml
7896775178371,Guimarães,pacoca rolha pacokinha guimaraes 520g
7896011946528,Blue ville,arroz grega blue ville 250g
7897701101821,Fhom,chips mandioquinha gluten fhom 45g
7898243983654,Hortifruti,curcuma acafrao 100g
7622210674395,Lacta,chocolate lacta shot 80g
7896004007618,Sucrilhos,cereal original sucrilhos kellogg s 240g embalagem promocional
7798090162076,Doña paula,dona paula estate riesling argentino vinho branco 750ml
8000430396003,Galbani,queijo parmigiano reggiano galbani 125g
7891037744257,Closeup,gel dental closeup fresh action 90g
7896333069769,Marchand,garrafa vidro base silicone off white marchand 500ml
7899808810934,Plasútil,lixeira pedal multiuso amendoa 1093 plasutil 7l 19 4x28 2x25cm
7891050003652,Passport,whisky escoces passport honey 670ml
7896306612947,Frutibelo,bala framboesa frutibelo 100g
7613035314016,Nestlé,chocolate nestle extrafino amendoas gluten 123g
7896209601178,Dactari,bitter dactari 900ml
7894650004937,Glade,odorizador carros gel citrus glade 70g
7896333072110,Marchand,vela decorativa fendi cilindrica marchand 7cm
7891048036068,Dr.oetker,cha hortela dr oetker 15 saches
7896079901828,Damm,casquinha carne peixe siri congelada damm 330g
7891515432652,Sadia,presunto cozido fatiado soltissimo sadia 200g
7896431411545,Aida,salame milano fatiado light aida 100g
7891048084540,Dr.oetker,gelatina fini bananas dr oetker 20g
7898962017159,Massaria tradizionale,tortellini frango defumado resfriado massaria tradizionale 250g
7896333050316,Marchand,tabua madeira retangular multiuso cb38135w marchand 35x25cm
7896328210084,Barão de cotegipe,cha maca canela barao cotegipe 10 saches
7897349909308,Stragliotto,ovos brancos tipo jumbo king eggs stragliotto 10
7891079000212,Nissin,macarrao instantaneo galinha nissin lamen 85g
7898641840955,Campo limpo,mix salada organica cenoura beterraba alface higienizadas campo limpo 300g
8416200157222,El avion,arroz paella el avion 500g
7896333052037,Marchand,aparelho fondue aco ome735br marchand 11 pecas
7792180130723,Cañuelas,oleo girassol canuelas 900ml
7898024397151,Ferrero rocher,bombons ferrero rocher collection 77g
