matched_id,text
7908228804369,fini mini bananas 12x15 gr
7896045506606,mormaii lata branco
7894900031515,fanta laranja 2l
7891149105571,skol lata 350ml
7897877000249,matuta verde umburana 1l
70847022015,monster branco
7894900300017,pitu lata 350ml
7897877000249,cachaca cobicada umburana 250ml
7897877000249,matuta verde umburana garrafinha
7898958351700,dore 250ml guarana
7898080662668,baly 2l tropical c6
7622210571601,refresco marata laranja
7898051672924,bala mel 450g
7897877000249,preciosa vale umburana 250ml
7894900011609,coca cola 1l
7898605254132,pitu mel lata 350ml
7896333033388,matuta amarela cristal 1l
7896262304368,mentos peq fruit
7896299610197,fini pacote beijos 500g
5604747110142,quinta morgado suave 750ml
7908228806011,fini vermelho amora
7891991305853,pitu latao 473ml
7899923608805,extrema prata 1l
7896451915610,fini mini pinta lingua 12x17 gr
7892840818678,gotas chocolate chocomais
7898080665409,baly tradicional 2l
7891991303217,spaten lata 350ml
7896002100014,cachaca cobicada cristal 900ml
7898453460105,treloso flocos cx
7891155669876,cachaca gostosa 480ml
7893218000473,vodka smirnoff 1l
7896080001401,infinity 1l
2091950000002,freegels fresh melao pct
7896037916185,russov vermelha 980ml
6926845717771,chiclete buzzy rosa morango
7896383700681,51l ouro 965ml
2177910000005,matuta maca verde garrafinha
7891149011001,brahma chopp litrinho
7891097104619,bokao queijo 10x55g
7894900681000,sprite zero 2l
20261924,fini caixa roxo minhoquinha
7897877000249,cachaca triunfo umburana 250ml
7891999340108,suco maratinho morango cx 12 x 200ml
611269991000,red bull 250ml
7891000538500,bokao cebola 10x55g
7896383730428,cachaca samanau prata 500ml
7891000912645,bala gelada sams
7896383700681,ypioca lata 350ml
20261924,chiclete mentos roxo
5000265001335,whisky black white 700ml
7899808835074,canudo biodegradavel
7891991305853,caranguejo latao 473ml
7894900300017,pitu lata 350ml
2130930000004,canelinha rocha 900ml
7897877000249,sao tome umburana peq 250ml
7891050001108,sao tome prata 250ml
7896209600553,mineira seg chacara prata 900ml
7896058501889,molecao amendoim
7894900060010,sprite zero lata 350ml
7891149105571,skol beats vermelha 269ml
7896037916185,caranguejo ouro 980ml
7896037916185,russov mix limao 980ml
2230750000007,matuta amarela cristal garrafinha
2378530000004,mesinha recheio pizza
7622210571786,refresco marata uva
7896045505319,amstel litrinho
7891050004406,montilla cristal 1l
78938830,halls menta
7898634263907,croc uva
7898957049752,beb mista tampico 1l
8595135523576,bohemia 1l
7891000094396,croc tuti fruti
7892840800239,pepsi 1l
2086790000008,chokrem pequena
7896021621286,zomo grande
1220000250222,monster branco ultra 473ml
7897395020194,itaipava lata zero 350ml
7897395020194,itaipava 1l
7891350044751,caranguejo lata prata 350ml
7891050004208,montilla carta branca 1l
7898080665409,baly tradicional 2l c6
7897395020194,malzbier itaipava lata 350ml
78936683,heineken zero long 330ml
7898605253852,jureminha india 350ml
7891991304184,corona long zero alcool 330ml
7896181710172,doce caseiro 50
78912359,baton garoto
7896037916185,russov 980ml cx
7891097104619,kiqueijo queijo 10x80g
7896058505962,bala hortela dori 600g
7891149101528,malzbier brahma long
7894900681000,dore 2l limao
630941446218,kukets confeti
7891155047322,copo americano nadir 2010
7891991015462,stella long 330ml
7897685916787,cocada moreninha queimada
7896037916185,caranguejo prata 980ml
7896002111416,matuta mel limao 1l
7896262304368,mentos fruit sabores
7896262304368,mentos pequeno
7897395020644,petra 600ml
7891991014915,guarana antarctica 1l
7891008414127,bombom garoto cx
1833225,michelob long ultra c24
7891150061040,ovomaltine pct
630941446218,mipibu jaqueira
7891149103065,stella lata 350ml
7893218000107,smirnoff ice lata 269ml
2091640000008,kro vermelha
7898616880016,farofa d ouro pct
78938830,freegels menta pct
